user_name,test_name,test_datetime,part_number,stage_serial
atempalski,SixDegree,2025-06-09 11:33:47,ANT130LZS-060,513074-02
ruhric,Accuracy,2025-06-09 12:49:48,PRO165SL-300-3-LI1-UF,512199-02-01
ruhric,Accuracy,2025-06-09 12:49:54,PRO165SL-300-3-LI1-UF,512199-02-01
ruhric,Accuracy,2025-06-09 12:50:00,PRO165SL-300-3-LI1-UF,512199-02-01
ruhric,Accuracy,2025-06-09 13:11:47,PRO165SL-300-3-LI1-UF,512199-02-01
ruhric,Accuracy,2025-06-09 13:11:58,PRO165SL-300-3-LI1-UF,512199-02-01
ruhric,Accuracy,2025-06-09 13:12:03,PRO165SL-300-3-LI1-UF,512199-02-01
ruhric,Accuracy,2025-06-09 14:59:40,PRO165SL-300-3-LI1-UF,512199-03-01
mtrozzi,Flatness,2025-06-10 06:35:58,ABL1000WB-150-E2,510654-01
mtrozzi,Flatness,2025-06-10 06:37:40,ABL1000WB-150-E2,510654-01
mtrozzi,Flatness,2025-06-10 07:06:50,ABL1000-100-E2,510654-01
mtrozzi,Flatness,2025-06-10 07:08:26,ABL1000-100-E2,510654-01
mtrozzi,Flatness,2025-06-10 07:17:04,ABL1000-100-E2,510654-01
cdelsignore,SixDegree,2025-06-10 16:14:57,PRO225LM-0400-E1,516210-01
cdelsignore,SixDegree,2025-06-10 16:15:50,PRO225LM-0400-E1,516210-01
gschliffka,Accuracy,2025-06-11 08:06:50,ABL1000-025-E2,510655-01
gschliffka,Accuracy,2025-06-11 08:36:51,ABL1000-025-E2,510655-01
gschliffka,Accuracy,2025-06-11 08:39:31,ABL1000-025-E2,510655-01
gschliffka,Accuracy,2025-06-11 08:42:30,ABL1000-025-E2,510655-01
gschliffka,Accuracy,2025-06-11 08:45:19,ABL1000-025-E2,510655-01
mdepaoli,Flatness,2025-06-11 09:18:16,PRO165LM,525363-01
mdepaoli,Flatness,2025-06-11 09:18:30,PRO165LM,525363-01
mdepaoli,Flatness,2025-06-11 09:19:29,PRO165LM,525363-01
mdepaoli,Straightness,2025-06-11 09:27:44,PRO165LM,525363-01
mdepaoli,Straightness,2025-06-11 09:28:20,PRO165LM,525363-01
mdepaoli,Accuracy,2025-06-11 09:35:48,PRO165LM,525363-01
mdepaoli,Accuracy,2025-06-11 09:36:07,PRO165LM,525363-01
gschliffka,Accuracy,2025-06-11 10:00:38,ABL1000-025-E2,510655-01
gschliffka,Accuracy,2025-06-11 10:20:40,ABL1000-025-E2,510655-01
gschliffka,Accuracy,2025-06-11 10:38:51,ABL1000-025-E2,510655-01
gschliffka,Accuracy,2025-06-11 12:52:48,ABL1000-025-E2,510655-01
mdepaoli,Accuracy,2025-06-12 08:23:48,MPS75SL,518166-01
mdepaoli,Accuracy,2025-06-12 08:25:37,MPS75SL,518166-01
mdepaoli,Accuracy,2025-06-12 08:25:50,MPS75SL,518166-01
mdepaoli,Accuracy,2025-06-12 08:25:59,MPS75SL,518166-01
mdepaoli,Accuracy,2025-06-12 08:26:16,MPS75SL,518166-01
mdepaoli,Accuracy,2025-06-12 08:26:27,MPS75SL,518166-01
mdepaoli,Accuracy,2025-06-12 08:26:53,MPS75SL,518166-01
mdepaoli,Accuracy,2025-06-12 08:27:16,MPS75SL,518166-01
mdepaoli,Accuracy,2025-06-12 08:27:34,MPS75SL,518166-01
mdepaoli,Accuracy,2025-06-12 08:27:56,MPS75SL,518166-01
mdepaoli,Accuracy,2025-06-12 08:28:10,MPS75SL,518166-01
mdepaoli,Accuracy,2025-06-12 08:47:39,MPS75SL,518166-01
mdepaoli,Accuracy,2025-06-12 08:48:00,MPS75SL,518166-01
mdepaoli,Accuracy,2025-06-12 08:52:52,MPS75SL,518166-01
mdepaoli,Accuracy,2025-06-12 08:55:02,MPS75SL,518166-01
cdelsignore,Accuracy1DXY,2025-06-12 09:05:24,ANT95XY-050-E1,522729-01
mdepaoli,Flatness,2025-06-12 09:27:47,MPS75SL,518166-03
mdepaoli,Flatness,2025-06-12 09:27:59,MPS75SL,518166-03
mdepaoli,Straightness,2025-06-12 09:33:40,MPS75SL,518166-03
mdepaoli,Flatness,2025-06-12 09:39:30,MPS75SL,518166-03
mdepaoli,Accuracy,2025-06-12 09:50:34,MPS75SL,518166-03
atempalski,SixDegree,2025-06-12 11:02:57,PRO225LM-0415-ES17293-4,513353-01
atempalski,Accuracy2D,2025-06-12 11:57:02,PRO165LM-0310-ES18837-15,507843-04
atempalski,SixDegree,2025-06-12 13:24:56,PRO165LM-0300-ES17293-1,513082-01
atempalski,SixDegree,2025-06-12 14:47:59,PRO165LM-0300-ES17293-2,513092-01
atempalski,SixDegree,2025-06-12 14:49:33,PRO165LM-0300-ES17293-2,513092-01
