sequence_id,start_time,end_time,num_stops,user_name,test_name,part_number,stage_serial
54,2025-07-16 07:07:31,2025-07-16 10:42:28,20,mdepaoli,Accuracy,ANT130LZ,527244-03
55,2025-08-22 12:20:48,2025-08-22 12:20:48,1,dyounge,Accuracy,ANT95LZ-025,527550-01
56,2025-08-22 13:26:17,2025-08-25 09:24:05,6,dyounge,Accuracy,ANT95LZ-025,527550-02
57,2025-09-10 08:32:55,2025-09-10 08:37:28,2,cdelsignore,Accuracy,AGV3D,531679-01
58,2025-05-30 16:32:53,2025-05-30 16:33:40,2,blamouree,Accuracy1DXY,ANT130-XY-110,411212-01
59,2025-06-16 09:42:49,2025-06-16 09:42:49,1,atempalski,Accuracy1DXY,PlanarDL-300XY-ES20107,517678-02
60,2025-06-27 07:44:18,2025-07-08 08:47:44,2,gschliffka,Accuracy1DXY,ANT130XY-160-E4,519742-01
61,2025-07-18 09:05:12,2025-07-18 09:55:27,5,cdelsignore,Accuracy1DXY,FIBERMAXHP-ZXY,522264-01
62,2025-06-12 09:05:24,2025-06-12 09:05:24,1,cdelsignore,Accuracy1DXY,ANT95XY-050-E1,522729-01
63,2025-08-29 16:16:59,2025-08-29 16:16:59,1,mtrozzi,Accuracy1DXY,PlanarDL-200XY-ES18021,522737-01
64,2025-08-07 07:26:29,2025-08-07 07:26:29,1,gschliffka,Accuracy1DXY,ANT130XY-160-E4-MP,524330-01
65,2025-07-14 11:49:56,2025-07-14 11:53:13,2,gschliffka,Accuracy1DXY,ANT130XY-160-E1,525303-01
66,2025-08-01 08:49:57,2025-08-04 09:20:17,5,nguy,Accuracy1DXY,PlanarDL-200XY,525307-01
67,2025-08-28 08:11:24,2025-09-03 08:05:55,2,gschliffka,Accuracy1DXY,PlanarDL-300XY-M3-E1,526499-01
68,2025-08-22 16:10:13,2025-08-28 11:42:07,9,nguy,Accuracy1DXY,ANT95XY-050,526567-01
69,2025-08-26 07:16:15,2025-08-26 07:16:15,1,gschliffka,Accuracy1DXY,ANT95XY-050-E1-MP,526712-01
70,2025-09-11 08:46:44,2025-09-11 08:46:44,1,gschliffka,Accuracy1DXY,PlanarDLA-330XY-M4-E1,527831-01
